Z;F;S
16;73;-246
4;80;-241
1;87;-222
9;100;-181
29;110;-117
43;108;-40
44;99;44
48;91;132
43;94;219
40;101;305
43;116;372
48;123;426
46;121;459
36;121;482
35;111;497
29;96;499
26;81;482
26;71;443
37;66;419
42;61;392
48;52;372
49;41;342
43;32;314
45;31;305
56;30;319
72;40;331
73;43;320
75;38;277
75;47;189
78;48;59
73;46;-105
69;43;-302
62;44;-513
37;53;-757
7;53;-1050
-14;56;-1327
-21;53;-1387
-15;51;-1144
4;48;-630
30;53;-92
33;53;325
32;48;588
17;38;708
-2;31;721
-19;33;632
-25;31;497
-25;32;371
-38;38;277
-43;37;239
-38;45;239
-25;46;259
-5;46;292
14;44;323
25;45;347
27;47;364
28;53;372
32;51;369
31;44;359
29;28;349
37;19;347
37;24;354
37;16;368
32;20;387
27;19;405
16;16;413
-7;14;396
-15;19;354
-22;26;308
-34;26;271
-50;26;253
-64;26;231
-76;12;205
-84;5;194
-80;-2;215
-81;0;213
-82;4;118
-85;8;-98
-75;15;-435
-63;24;-819
-53;30;-1176
-45;29;-1396
-49;30;-1305
-61;21;-963
-67;19;-474
-60;16;-67
-65;21;177
-66;17;200
-58;17;-31
-44;33;-357
-22;36;-630
-9;51;-707
6;48;-610
0;54;-441
0;43;-276
12;40;-103
31;30;17
41;19;118
37;14;190
24;14;241
0;18;276
-5;15;308
-2;15;324
3;16;320
-7;19;296
-19;19;254
-26;25;190
-24;37;142
-7;34;122
13;40;110
13;29;100
-8;27;105
-19;18;131
-22;19;191
-18;26;258
-14;38;312
-14;44;343
-25;41;359
-36;43;368
-23;39;381
-9;41;397
1;38;421
8;28;452
17;27;486
39;26;511
61;22;505
87;26;474
84;27;425
64;30;387
40;34;350
27;36;324
7;47;309
-16;43;324
-28;39;341
-26;40;334
-11;30;238
11;28;50
26;29;-205
22;29;-480
14;35;-744
18;27;-1015
16;28;-1269
8;28;-1268
0;27;-998
-11;28;-521
-24;20;-37
-35;14;238
-36;7;399
-31;-2;399
-15;-12;319
1;-13;132
15;-6;-123
12;-3;-321
14;-1;-415
26;1;-386
31;6;-300
32;0;-207
24;1;-128
23;-2;-70
12;-1;-10
9;-3;30
5;6;60
-4;7;85
-4;-1;83
11;-4;58
42;-9;11
60;-14;-35
66;-20;-90
51;-27;-145
35;-32;-215
24;-33;-294
28;-25;-368
40;-16;-385
39;-3;-333
40;4;-217
43;10;-94
45;16;-32
35;14;-51
28;13;-119
16;8;-182
12;-1;-209
10;-11;-192
17;-11;-151
21;-24;-81
12;-31;35
11;-32;160
4;-29;270
-2;-20;327
-2;-15;339
3;-5;330
0;7;294
0;6;241
5;8;194
2;3;171
1;3;178
8;-1;202
24;4;205
33;8;199
36;13;159
41;16;33
30;22;-234
13;21;-491
-5;19;-598
-19;19;-548
-38;17;-359
-61;11;-229
-85;11;-52
-111;18;123
-128;22;193
-121;26;134
-90;38;-22
-64;50;-240
-43;57;-553
-38;54;-597
-43;50;-460
-48;56;-56
-43;67;371
-20;86;714
-3;95;924
14;97;1027
16;94;934
10;95;768
-2;93;621
-2;96;501
3;94;401
14;92;347
33;83;331
66;73;346
80;59;375
69;48;433
51;34;488
26;32;525
9;29;529
3;19;513
3;18;489
-3;7;463
-18;2;435
-41;-2;401
-62;-6;378
-73;-6;376
-77;-2;389
-72;1;403
-65;2;417
-64;5;412
-53;15;406
-59;22;393
-66;29;354
-78;22;295
-81;20;165
-84;15;78
-89;14;3
-83;17;-15
-77;29;-35
-78;42;-89
-81;55;-175
-87;67;-232
-83;72;-232
-69;73;-190
-46;66;-156
-24;61;-199
-11;52;-426
15;55;-894
44;56;-1317
53;51;-1564
57;42;-1426
62;29;-1038
74;23;-613
81;14;-234
81;20;80
88;26;288
87;31;419
97;29;407
105;28;192
102;35;-310
86;35;-741
67;39;-1015
58;39;-982
46;38;-764
43;39;-472
47;38;-203
35;42;18
5;44;107
-22;50;109
-27;53;125
-16;47;157
7;45;202
19;42;257
21;45;315
10;43;372
14;44;421
23;50;458
25;57;485
19;59;502
11;65;513
4;68;518
-19;63;519
-34;57;514
-55;52;506
-57;54;497
-41;50;486
-4;41;475
25;24;463
41;16;455
56;11;450
60;15;444
58;7;442
54;6;436
40;1;432
25;1;425
0;2;421
-16;-4;422
-39;-8;428
-62;-10;445
-74;-8;464
-72;5;479
-64;8;484
-48;15;465
-20;14;445
8;24;397
29;23;336
40;34;272
54;40;209
51;43;174
38;36;141
17;30;-32
-13;21;-573
-39;16;-1106
-62;15;-1325
-66;16;-1014
-51;7;-326
-4;-4;228
43;-11;570
70;-21;737
67;-25;721
58;-26;389
66;-18;-200
69;-19;-483
73;-25;-549
67;-35;-236
50;-38;168
27;-38;456
6;-37;670
-6;-25;752
-26;-19;676
-38;-11;573
-29;4;485
2;19;420
37;20;362
76;29;306
94;43;244
84;53;177
73;61;113
58;66;64
51;71;35
44;74;7
48;84;-28
41;89;-83
27;99;-127
2;109;-153
-8;112;-173
-1;121;-196
12;116;-217
51;115;-209
73;112;-167
83;105;-98
79;101;-16
72;99;56
67;102;107
60;99;134
55;89;121
28;84;4
-1;74;-253
-20;74;-629
-32;75;-948
-35;66;-1079
-39;53;-948
-22;30;-623
-1;16;-129
20;1;347
30;2;685
49;3;796
58;7;686
65;4;472
69;-2;233
65;-5;52
55;-17;18
47;-13;63
32;-19;122
8;-19;171
-3;-18;333
-2;-23;516
6;-21;698
20;-20;721
42;-13;665
70;-3;612
80;1;598
78;8;589
60;9;582
39;5;581
25;-1;574
18;-7;548
30;-4;508
38;-8;453
50;-10;411
55;-21;375
53;-28;350
51;-33;332
69;-36;330
98;-34;336
127;-37;349
155;-31;362
176;-33;349
185;-24;298
170;-26;194
150;-26;44
115;-19;-99
75;-18;-212
38;-17;-240
13;-16;-183
-6;-23;-72
-20;-30;54
-9;-37;157
14;-37;228
39;-30;268
57;-26;203
58;-26;-105
38;-26;-725
7;-32;-1189
-10;-29;-1377
-23;-18;-1037
-37;-14;-511
-50;-13;-62
-60;-9;235
-59;-8;390
-33;-2;374
11;3;231
53;5;27
71;6;-172
88;2;-348
97;12;-493
104;26;-551
105;36;-514
98;38;-392
87;42;-262
66;42;-181
46;45;-135
23;56;-122
-6;66;-97
-7;68;-102
23;69;-119
59;66;-135
90;64;-132
99;61;-108
99;58;-53
79;51;19
53;41;110
33;34;213
17;36;309
-2;34;390
-20;41;444
-40;52;480
-69;64;498
-87;66;506
-92;64;510
-86;69;512
-70;65;518
-42;74;530
-18;72;543
0;70;559
19;69;574
29;67;582
21;62;570
1;55;536
0;56;471
6;61;379
12;68;281
2;68;217
-20;74;182
-47;71;194
-70;62;215
-68;55;238
-50;52;253
-29;59;260
-12;52;192
-9;50;14
-23;41;-302
-35;40;-683
-26;45;-1042
-14;47;-1303
-5;57;-1439
-12;61;-1424
-27;72;-1234
-54;74;-838
-69;71;-359
-67;56;98
-57;48;404
-34;35;540
-5;28;466
24;31;168
39;34;-210
60;42;-536
70;48;-639
67;52;-555
35;49;-242
-1;49;93
-33;49;381
-67;42;513
-82;30;527
-91;19;505
-99;19;497
-109;20;488
-113;21;473
-95;18;446
-69;11;399
-42;0;335
-30;-2;243
-34;-7;150
-51;-18;69
-69;-19;38
-67;-20;18
-72;-21;-10
-78;-17;-73
-93;-9;-135
-112;-6;-191
-115;-3;-226
-92;-7;-277
-59;2;-325
-35;1;-356
-20;-1;-350
-10;-11;-309
1;-16;-245
5;-18;-171
28;-5;-139
54;15;-216
70;39;-540
64;51;-1074
36;58;-1336
-2;64;-1287
-32;66;-799
-25;66;-220
0;68;272
26;62;606
35;58;796
28;57;799
15;49;671
7;51;526
19;46;418
28;44;360
16;43;346
-19;44;376
-61;50;436
-98;53;504
-121;57;570
-110;56;615
-90;66;628
-62;61;600
-31;57;534
-4;50;444
16;37;367
34;27;318
48;21;300
51;23;301
42;29;314
23;30;335
-1;31;370
-33;27;374
-60;25;343
-74;24;243
-86;32;89
-97;24;-121
-99;19;-330
-76;9;-544
-50;2;-747
-6;-7;-970
42;-9;-1102
80;-5;-1059
95;3;-864
83;9;-545
60;13;-250
29;10;-9
7;5;138
-9;-1;159
-25;4;18
-34;-6;-266
-24;-9;-506
-7;-16;-621
-7;-22;-517
-1;-20;-309
13;-23;-115
27;-25;37
37;-27;135
39;-31;186
24;-33;194
1;-28;181
-19;-26;135
-18;-12;66
4;-8;-21
27;-10;-103
36;-5;-168
12;-4;-205
-19;2;-220
-38;2;-199
-21;0;-160
9;7;-92
24;9;-3
38;20;81
38;29;137
43;49;145
55;48;119
71;55;92
80;54;85
59;50;72
36;52;74
0;58;53
-33;65;8
-50;67;-82
-43;68;-225
-27;64;-516
-10;50;-960
3;42;-1239
6;42;-1254
-2;49;-830
0;53;-262
17;57;252
27;56;627
36;55;852
27;44;912
2;42;784
-14;34;587
-22;34;352
-16;30;155
-30;20;18
-40;17;78
-46;8;236
-33;4;386
-16;-2;395
8;-6;504
26;-5;625
22;-7;816
10;-11;863
3;-16;791
8;-13;700
19;-4;636
34;-3;562
34;5;468
14;-4;355
-3;-16;239
-10;-30;150
-7;-37;114
0;-26;122
13;-12;150
21;4;168
24;10;118
36;21;-54
58;26;-277
81;39;-506
85;39;-641
83;52;-713
85;61;-748
91;70;-743
103;66;-697
106;61;-601
96;57;-454
69;53;-318
48;44;-147
26;38;-10
13;36;122
6;30;214
18;40;256
25;44;256
29;46;231
43;41;156
56;45;3
71;46;-338
83;35;-919
85;30;-1284
66;20;-1403
40;13;-1014
21;12;-474
4;7;63
-8;7;451
-18;11;706
-14;21;722
-19;23;504
-16;26;149
-17;17;-284
-17;15;-598
-12;4;-633
3;12;-439
25;13;-93
35;19;298
42;21;600
45;18;794
46;27;789
38;35;670
26;45;548
15;60;473
-5;63;422
-15;62;406
-24;59;407
-37;56;423
-52;56;447
-58;55;471
-49;58;478
-47;53;469
-43;49;434
-39;46;428
-24;57;420
-12;60;435
-1;62;443
0;63;438
-20;58;439
-33;56;434
-41;50;437
-45;42;444
-56;23;455
-67;20;453
-86;28;437
-105;37;418
-108;56;399
-93;73;386
-62;80;375
-44;83;360
-25;69;340
-30;57;293
-34;51;226
-36;42;148
-25;36;95
-25;33;63
-37;23;67
-52;21;73
-62;16;61
-60;17;31
-53;17;-3
-45;35;-54
-43;43;-131
-44;56;-263
-33;62;-460
-31;69;-694
-29;81;-927
-26;75;-1178
-10;81;-1459
0;77;-1705
11;79;-1744
12;77;-1514
-4;79;-1012
-27;87;-484
-35;92;-23
-27;99;275
-18;97;402
-14;90;339
-17;80;51
-21;72;-267
-11;68;-472
7;65;-450
28;64;-256
28;70;-19
20;71;191
7;75;349
-2;71;444
-22;71;479
-18;68;495
2;71;496
7;61;498
4;49;494
-11;35;489
-24;32;482
-29;25;468
-27;25;458
-28;30;438
-47;22;436
-59;18;424
-56;14;419
-53;12;392
-44;10;347
-27;10;311
-8;11;284
11;10;304
21;6;345
37;4;383
49;14;386
49;11;315
48;3;132
30;-7;-139
16;-16;-519
5;-19;-857
-6;-10;-1095
-20;3;-1149
-40;10;-1048
-42;10;-897
-45;19;-739
-40;23;-617
-30;29;-449
-25;33;-229
-31;28;41
-41;20;299
-40;19;450
-48;15;479
-55;18;416
-61;20;305
-62;32;200
-59;43;131
-64;50;108
-68;52;126
-66;56;166
-55;57;209
-39;62;234
-27;64;255
-34;67;258
-34;66;257
-21;70;252
-8;73;245
-13;78;234
-25;82;196
-19;84;131
-15;84;58
3;78;-5
14;81;-71
14;78;-141
-4;75;-253
-19;71;-553
-26;63;-952
-29;61;-1184
-24;58;-1045
-15;58;-560
-9;64;-16
-10;63;379
-11;61;633
-2;56;796
7;43;866
15;31;828
20;22;717
13;28;570
-1;31;439
-10;38;353
-19;32;318
-20;32;321
-16;28;354
-13;32;394
-21;41;434
-39;43;458
-43;46;465
-44;53;465
-37;56;468
-28;55;486
-11;49;516
-8;36;539
-2;27;541
18;24;505
41;31;437
50;34;355
45;27;278
40;27;235
32;17;218
26;13;238
30;11;288
24;14;339
20;21;329
11;25;271
7;30;151
3;27;-4
8;21;-264
23;25;-737
38;27;-1393
44;29;-1765
41;24;-1673
47;22;-1193
53;19;-602
59;21;-258
65;13;-26
59;12;53
48;11;-49
43;-4;-349
58;-1;-632
74;-7;-768
94;-9;-711
105;-6;-567
101;-7;-436
80;-10;-311
58;-12;-178
36;-12;-40
14;-12;101
9;-11;229
11;-9;324
11;-3;395
-6;0;447
-20;-1;482
-2;-2;509
25;-8;530
65;-8;546
91;-16;551
100;-13;527
90;-26;478
79;-27;405
72;-34;326
72;-26;272
81;-24;245
92;-14;248
88;-3;264
72;-1;283
57;9;304
46;15;305
39;27;289
38;35;240
40;46;181
48;48;107
64;49;35
88;48;-21
94;48;-63
79;51;-120
53;47;-216
31;43;-323
19;37;-482
24;38;-800
43;35;-1119
52;35;-1375
50;25;-1303
36;15;-901
29;18;-395
28;20;71
40;25;390
60;33;568
64;37;647
49;42;657
26;38;627
6;35;564
1;28;474
16;26;377
47;20;272
56;22;195
36;28;148
6;32;145
-1;32;178
22;30;237
65;28;294
103;27;336
106;36;351
72;42;337
32;50;297
13;57;231
13;55;178
29;58;135
42;49;91
45;58;45
32;56;-22
14;55;-81
3;51;-134
-10;50;-166
-7;41;-168
-5;41;-177
-2;48;-249
-12;47;-587
-20;51;-1219
-27;54;-1528
-26;50;-1529
-18;46;-1003
-12;36;-389
-13;34;127
-26;29;504
-29;31;749
-39;32;798
-59;37;710
-66;36;542
-54;36;344
-43;35;128
-43;28;-7
-40;25;-31
-47;18;72
-46;16;180
-33;7;258
-13;10;403
10;10;600
18;19;788
30;27;862
34;38;741
34;40;603
38;31;520
45;29;484
43;20;458
32;25;430
14;22;399
-11;22;369
-33;26;328
-38;30;264
-25;40;199
-14;45;113
-15;50;6
-27;52;-208
-50;51;-524
-72;49;-981
-80;36;-1334
-65;33;-1438
-53;22;-1178
-42;11;-720
-36;6;-219
-34;9;187
-38;10;496
-36;1;665
-30;-1;693
-31;-5;620
-36;3;521
-50;5;385
-63;12;255
-82;16;146
-83;18;84
-71;17;60
-69;7;82
-64;2;110
-71;-1;148
-76;14;183
-70;21;213
-43;28;228
-18;37;233
-10;33;222
-9;38;201
-10;35;172
-11;36;163
-13;28;171
-9;17;199
-9;12;238
-7;11;276
-12;20;314
-22;23;340
-25;34;337
-18;28;296
9;31;226
19;28;153
15;20;101
5;11;76
1;5;84
8;2;124
11;-6;184
17;-2;234
18;-1;215
6;-7;65
3;-15;-231
-1;-22;-610
1;-25;-972
3;-23;-1221
7;-18;-1375
3;-14;-1311
-3;-5;-1007
-9;-2;-510
2;6;18
6;11;401
9;14;588
0;18;596
-14;16;351
-24;13;-46
-17;18;-425
-5;18;-659
-1;23;-657
-1;26;-512
0;30;-281
8;34;-74
8;31;67
8;33;114
15;33;136
28;45;170
49;52;199
68;57;223
69;58;243
59;51;269
39;49;302
21;46;336
-13;45;373
-31;40;405
-46;25;441
-46;24;467
-46;18;485
-32;19;475
-22;18;443
-24;13;390
-15;16;338
3;9;294
24;14;265
32;9;253
30;12;265
16;20;276
9;22;288
20;16;287
52;10;259
78;5;207
82;-4;110
75;-6;-9
62;-2;-153
49;5;-263
35;4;-349
20;-1;-462
3;3;-718
-1;-5;-1147
6;-4;-1437
13;-7;-1407
12;-2;-990
4;-4;-448
10;-3;3
18;-9;295
27;-4;441
52;1;504
74;12;489
72;24;435
44;27;355
17;32;261
-5;41;166
0;45;108
13;51;74
21;52;51
21;45;45
22;36;58
27;40;93
31;29;145
46;26;205
67;18;269
86;23;337
89;31;400
82;36;456
65;43;498
38;38;533
19;37;565
10;27;596
14;24;617
13;22;616
12;20;581
15;21;507
3;14;421
2;15;354
9;11;305
20;21;287
30;24;287
43;25;315
53;28;350
42;26;360
25;31;254
10;38;4
-6;48;-377
-19;42;-801
-28;39;-1150
-39;33;-1369
-55;36;-1385
-63;36;-1269
-61;36;-987
-46;39;-653
-21;34;-310
20;21;11
44;17;207
59;11;246
66;12;48
69;4;-228
54;0;-386
21;-14;-356
-15;-11;-170
-38;-7;-1
-49;-3;159
-47;4;308
-40;7;398
-34;15;402
-33;15;336
-15;20;281
7;21;237
39;23;212
68;21;187
93;19;165
98;26;145
96;31;132
94;27;130
83;24;149
62;24;182
33;35;227
5;54;264
-18;63;280
-26;57;286
-16;53;269
-12;52;242
-9;58;208
-4;58;174
14;56;145
30;50;129
46;41;127
62;41;145
66;46;172
63;52;197
49;58;203
37;65;147
-1;70;43
-33;75;-87
-61;73;-230
-77;74;-328
-83;82;-376
-66;83;-377
-40;91;-411
-18;87;-526
1;85;-907
8;73;-1331
13;67;-1599
-2;45;-1454
-18;40;-928
-40;38;-369
-58;39;52
-66;38;344
-60;29;538
-46;31;606
-45;36;522
-36;40;361
-30;48;199
-8;51;120
24;46;119
61;51;178
83;50;261
78;48;329
56;39;381
18;37;412
-21;43;431
-49;49;438
-66;52;446
-73;52;463
-76;48;486
-58;48;510
-47;44;528
-43;32;533
-41;27;521
-28;23;482
-11;13;421
13;14;337
39;18;272
57;23;212
48;31;179
28;35;175
3;40;203
-34;42;234
-63;44;225
-85;39;84
-100;38;-192
-115;41;-558
-129;32;-913
-127;36;-1175
-113;36;-1310
-72;30;-1291
-26;29;-1170
3;27;-920
15;27;-639
17;28;-309
29;36;-6
21;41;224
11;47;314
-14;48;310
-41;45;195
-65;34;-35
-70;21;-349
-58;13;-580
-49;11;-640
-31;11;-482
-14;13;-259
-7;26;-34
-7;31;165
4;42;330
20;53;415
31;58;434
28;62;445
20;60;461
1;55;481
-6;49;501
11;45;526
26;49;549
31;49;560
27;43;566
17;37;548
12;39;521
18;43;486
43;47;451
66;46;416
77;48;382
60;47;353
31;44;352
1;44;370
-28;51;393
-40;63;401
-53;69;375
-59;71;324
-51;69;261
-25;68;183
2;68;110
25;62;44
47;59;-15
56;51;-92
58;53;-211
56;46;-386
63;44;-778
54;43;-1153
37;31;-1383
13;25;-1307
-7;23;-927
-14;23;-541
-10;25;-213
-2;33;10
-8;41;165
-12;45;258
-17;53;312
-15;53;316
-4;64;298
7;62;260
24;62;221
17;56;193
3;46;183
-7;39;188
-10;37;208
-11;40;231
9;38;265
38;49;289
61;51;300
78;55;295
79;59;282
72;65;286
59;68;316
57;63;366
64;53;436
60;44;516
48;35;592
36;30;650
15;29;667
-6;19;637
-1;12;574
8;5;505
26;-1;450
38;-4;413
32;-9;399
33;-13;414
34;-16;448
41;-22;486
42;-14;449
30;-12;291
16;-3;-46
13;0;-457
6;-2;-878
-2;-5;-1178
-10;-6;-1324
-23;3;-1310
-31;7;-1105
-23;15;-770
-1;14;-345
19;19;42
17;22;315
7;23;465
-17;29;513
-32;25;478
-37;26;378
-31;21;250
-28;24;137
-21;15;57
-14;22;17
-14;31;0
-25;40;7
-28;45;26
-11;39;57
8;41;95
77;7;462
